district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
02,05,08,04,4782,100.0,1148,24.0,4165,87.1,3634,76.0,531,11.1,617,12.9
03,01,01,01,4275,100.0,685,16.0,3809,89.1,3590,84.0,219,5.1,466,10.9
03,01,01,02,12447,100.0,2605,20.9,10457,84.0,9842,79.1,615,4.9,1990,16.0
03,01,01,04,234,100.0,49,20.9,206,88.0,185,79.1,21,9.0,28,12.0
03,02,02,03,2430,100.0,500,20.6,2011,82.8,1930,79.4,81,3.3,419,17.2
03,02,02,09,15034,100.0,2472,16.4,13624,90.6,12562,83.6,1062,7.1,1410,9.4
03,02,02,10,11469,100.0,1781,15.5,10466,91.3,9688,84.5,778,6.8,1003,8.7
03,02,03,07,18242,100.0,2429,13.3,17247,94.5,15813,86.7,1434,7.9,995,5.5
03,03,04,05,11404,100.0,2040,17.9,10238,89.8,9364,82.1,874,7.7,1166,10.2
03,03,04,06,8211,100.0,756,9.2,7888,96.1,7455,90.8,433,5.3,323,3.9
03,03,07,11,6862,100.0,495,7.2,6663,97.1,6367,92.8,296,4.3,199,2.9
03,03,07,15,7624,100.0,1436,18.8,6651,87.2,6188,81.2,463,6.1,973,12.8
03,03,07,16,1123,100.0,30,2.7,1114,99.2,1093,97.3,21,1.9,9,0.8
03,04,05,08,4570,100.0,939,20.5,4275,93.5,3631,79.5,644,14.1,295,6.5
03,04,05,12,10264,100.0,1797,17.5,9413,91.7,8467,82.5,946,9.2,851,8.3
03,04,05,13,3390,100.0,526,15.5,3152,93.0,2864,84.5,288,8.5,238,7.0
03,04,06,14,36813,100.0,5844,15.9,33632,91.4,30969,84.1,2663,7.2,3181,8.6
03,04,08,18,35043,100.0,6203,17.7,31157,88.9,28840,82.3,2317,6.6,3886,11.1
03,05,09,19,5367,100.0,925,17.2,4658,86.8,4442,82.8,216,4.0,709,13.2
03,05,09,20,7385,100.0,1113,15.1,6753,91.4,6272,84.9,481,6.5,632,8.6
03,05,09,23,9717,100.0,2238,23.0,8220,84.6,7479,77.0,741,7.6,1497,15.4
03,05,09,24,6163,100.0,1455,23.6,5187,84.2,4708,76.4,479,7.8,976,15.8
03,05,09,25,9765,100.0,1832,18.8,8604,88.1,7933,81.2,671,6.9,1161,11.9
03,05,10,17,4226,100.0,936,22.1,3587,84.9,3290,77.9,297,7.0,639,15.1
03,05,10,21,6494,100.0,807,12.4,5956,91.7,5687,87.6,269,4.1,538,8.3
03,05,10,22,4620,100.0,471,10.2,4347,94.1,4149,89.8,198,4.3,273,5.9
03,06,11,26,15807,100.0,4795,30.3,12530,79.3,11012,69.7,1518,9.6,3277,20.7
03,06,11,31,10695,100.0,3632,34.0,8183,76.5,7063,66.0,1120,10.5,2512,23.5
03,06,12,27,14642,100.0,3919,26.8,12073,82.5,10723,73.2,1350,9.2,2569,17.5
03,06,12,28,12732,100.0,3107,24.4,10637,83.5,9625,75.6,1012,7.9,2095,16.5
03,06,13,32,22788,100.0,7239,31.8,18019,79.1,15549,68.2,2470,10.8,4769,20.9
03,06,14,29,9975,100.0,1696,17.0,8993,90.2,8279,83.0,714,7.2,982,9.8
03,06,14,30,4062,100.0,1716,42.2,2621,64.5,2346,57.8,275,6.8,1441,35.5
03,06,14,34,6463,100.0,1817,28.1,5180,80.1,4646,71.9,534,8.3,1283,19.9
03,06,14,35,4004,100.0,1188,29.7,3202,80.0,2816,70.3,386,9.6,802,20.0
03,06,14,41,2653,100.0,731,27.6,2279,85.9,1922,72.4,357,13.5,374,14.1
03,07,15,36,11147,100.0,4103,36.8,8376,75.1,7044,63.2,1332,11.9,2771,24.9
03,07,15,37,15918,100.0,5603,35.2,12101,76.0,10315,64.8,1786,11.2,3817,24.0
03,07,16,33,3192,100.0,979,30.7,2546,79.8,2213,69.3,333,10.4,646,20.2
03,07,16,38,17743,100.0,5731,32.3,13960,78.7,12012,67.7,1948,11.0,3783,21.3
03,07,16,39,12772,100.0,3477,27.2,10584,82.9,9295,72.8,1289,10.1,2188,17.1
04,01,01,01,10778,100.0,5188,48.1,7800,72.4,5590,51.9,2210,20.5,2978,27.6
04,01,01,02,813,100.0,346,42.6,521,64.1,467,57.4,54,6.6,292,35.9
04,01,01,03,7899,100.0,4347,55.0,5718,72.4,3552,45.0,2166,27.4,2181,27.6
04,02,02,04,188,100.0,68,36.2,151,80.3,120,63.8,31,16.5,37,19.7
04,02,02,05,1311,100.0,327,24.9,1132,86.3,984,75.1,148,11.3,179,13.7
04,02,02,06,2851,100.0,804,28.2,2367,83.0,2047,71.8,320,11.2,484,17.0
04,02,02,07,2574,100.0,789,30.7,2105,81.8,1785,69.3,320,12.4,469,18.2
04,02,02,08,2953,100.0,795,26.9,2542,86.1,2158,73.1,384,13.0,411,13.9
04,02,02,09,3207,100.0,1256,39.2,2238,69.8,1951,60.8,287,8.9,969,30.2
04,02,03,10,795,100.0,499,62.8,359,45.2,296,37.2,63,7.9,436,54.8
04,02,03,11,15015,100.0,5092,33.9,11946,79.6,9923,66.1,2023,13.5,3069,20.4
04,02,03,12,5542,100.0,1793,32.4,4434,80.0,3749,67.6,685,12.4,1108,20.0
04,02,03,13,7304,100.0,2775,38.0,5652,77.4,4529,62.0,1123,15.4,1652,22.6
04,02,03,14,12,100.0,12,100.0,0,0.0,0,0.0,0,0.0,12,100.0
04,03,04,15,3071,100.0,1648,53.7,1829,59.6,1423,46.3,406,13.2,1242,40.4
04,03,04,16,10616,100.0,5175,48.7,7784,73.3,5441,51.3,2343,22.1,2832,26.7
04,03,04,17,10941,100.0,4285,39.2,8399,76.8,6656,60.8,1743,15.9,2542,23.2
